ID,RA_DMS,DEC_DMS,SEMI_MAJ_PC,SEMI_MIN_PC,AVG_RAD_PC,PA_DEG,ARM,DIST_ARM_PC,GAL_RAD_KPC,RA_DEG,DEC_DEG
393,24d10m18.3s,15d48m13.4s,77,74,76,-90,2,109,3.46,24.171750000000003,15.803722222222223
394,24d10m18.5s,15d46m4.4s,24,21,23,-90,4,-11,2.73,24.171805555555558,15.767888888888889
395,24d10m18.5s,15d45m16.1s,63,63,63,0,2,-335,5.02,24.171805555555558,15.754472222222223
396,24d10m18.6s,15d45m47.2s,38,38,38,0,4,132,3.54,24.171833333333336,15.763111111111112
397,24d10m18.7s,15d48m36.6s,27,18,24,-50,1,14,4.57,24.171861111111113,15.810166666666667
398,24d10m19.2s,15d46m17.3s,143,106,131,-70,4,-115,2.11,24.172,15.771472222222224
399,24d10m19.2s,15d46m54.5s,17,16,17,0,2,226,0.44,24.172,15.781805555555556
400,24d10m19.3s,15d45m18.4s,62,50,58,0,2,-353,4.91,24.172027777777778,15.75511111111111
401,24d10m19.3s,15d47m19.9s,46,41,44,0,4,50,0.95,24.172027777777778,15.78886111111111
402,24d10m19.7s,15d46m38.0s,28,24,27,0,2,141,1.14,24.17213888888889,15.777222222222223
403,24d10m19.9s,15d48m32.5s,155,144,151,-90,1,-35,4.37,24.172194444444447,15.809027777777779
404,24d10m19.9s,15d48m13.6s,47,31,41,30,2,111,3.47,24.172194444444447,15.803777777777778
405,24d10m20.1s,15d46m39.2s,26,23,25,0,2,148,1.08,24.172250000000002,15.777555555555557
406,24d10m20.2s,15d46m41.3s,34,27,32,0,2,156,0.98,24.17227777777778,15.77813888888889
407,24d10m20.7s,15d46m48.0s,33,33,33,0,2,-194,0.67,24.172416666666667,15.780000000000001
408,24d10m20.8s,15d46m28.3s,46,44,45,0,2,-152,1.58,24.172444444444444,15.774527777777779
409,24d10m20.8s,15d48m14.2s,28,19,25,0,2,116,3.5,24.172444444444444,15.803944444444445
410,24d10m20.9s,15d47m3.0s,36,24,32,0,4,194,0.25,24.172472222222222,15.784166666666666
411,24d10m21.0s,15d48m21.0s,60,59,60,-90,1,-140,3.82,24.1725,15.805833333333334
412,24d10m21.1s,15d46m55.8s,31,29,30,0,2,246,0.34,24.17252777777778,15.782166666666667
413,24d10m21.4s,15d47m28.2s,18,18,18,-90,4,21,1.31,24.172611111111113,15.791166666666667
414,24d10m21.9s,15d48m10.5s,26,23,25,0,2,83,3.32,24.17275,15.802916666666667
415,24d10m22.0s,15d47m27.6s,28,20,25,0,4,15,1.28,24.172777777777778,15.791
416,24d10m22.1s,15d48m16.2s,47,45,46,-90,2,131,3.58,24.172805555555556,15.8045
417,24d10m22.3s,15d46m2.5s,17,15,17,-90,4,17,2.8,24.17286111111111,15.767361111111112
418,24d10m22.3s,15d47m25.2s,26,21,25,0,4,-3,1.16,24.17286111111111,15.790333333333333
419,24d10m22.4s,15d48m14.1s,39,36,38,0,2,112,3.48,24.17288888888889,15.803916666666668
420,24d10m22.4s,15d46m56.4s,23,22,23,0,4,253,0.27,24.17288888888889,15.782333333333334
421,24d10m22.8s,15d46m2.9s,20,16,18,0,4,13,2.78,24.173000000000002,15.767472222222223
422,24d10m22.9s,15d46m38.5s,42,34,39,0,2,170,1.09,24.17302777777778,15.777361111111112
423,24d10m23.0s,15d48m36.5s,33,32,33,0,1,-7,4.55,24.173055555555557,15.81013888888889
424,24d10m23.3s,15d46m57.2s,25,23,24,0,4,246,0.22,24.17313888888889,15.782555555555556
425,24d10m23.4s,15d47m30.1s,112,99,108,-90,4,21,1.39,24.173166666666667,15.791694444444444
426,24d10m23.5s,15d47m5.2s,41,32,38,0,4,174,0.22,24.173194444444444,15.784777777777778
427,24d10m23.5s,15d47m2.6s,60,52,58,0,4,197,0.13,24.173194444444444,15.784055555555556
428,24d10m23.6s,15d48m17.4s,40,38,39,-90,2,139,3.64,24.173222222222222,15.804833333333335
429,24d10m23.8s,15d48m12.2s,15,14,15,0,2,93,3.39,24.17327777777778,15.80338888888889
430,24d10m23.8s,15d47m59.6s,39,34,37,0,2,-15,2.79,24.17327777777778,15.799888888888889
431,24d10m24.2s,15d45m29.2s,60,57,59,-90,4,301,4.39,24.17338888888889,15.758111111111111
432,24d10m24.5s,15d47m22.6s,28,23,26,0,4,23,1.02,24.173472222222223,15.78961111111111
433,24d10m24.7s,15d46m54.6s,58,45,53,0,2,260,0.32,24.173527777777778,15.781833333333335
434,24d10m25.1s,15d47m17.3s,46,30,41,0,4,68,0.77,24.173638888888892,15.78813888888889
435,24d10m25.2s,15d47m31.3s,32,30,31,-90,4,18,1.44,24.17366666666667,15.792027777777777
436,24d10m25.3s,15d47m26.3s,26,24,25,-90,4,-14,1.2,24.173694444444447,15.79063888888889
437,24d10m25.3s,15d46m25.3s,40,38,39,0,4,-182,1.71,24.173694444444447,15.773694444444445
438,24d10m25.6s,15d46m57.9s,23,20,22,0,4,241,0.15,24.17377777777778,15.78275
439,24d10m25.7s,15d47m18.6s,47,42,45,0,4,59,0.83,24.173805555555557,15.788499999999999
440,24d10m25.8s,15d46m39.3s,40,38,39,0,2,195,1.04,24.173833333333334,15.777583333333334
441,24d10m25.8s,15d47m27.7s,36,31,34,0,4,-8,1.27,24.173833333333334,15.791027777777778
442,24d10m26.0s,15d46m36.5s,71,66,69,-90,2,-192,1.17,24.17388888888889,15.776805555555557
443,24d10m26.2s,15d47m1.2s,34,28,32,0,4,212,0.02,24.173944444444444,15.783666666666667
444,24d10m26.7s,15d46m39.6s,35,35,35,0,2,-204,1.03,24.174083333333336,15.777666666666667
445,24d10m26.9s,15d47m26.1s,45,45,45,0,4,-25,1.19,24.17413888888889,15.790583333333334
446,24d10m27.2s,15d46m0.6s,37,33,36,0,4,40,2.89,24.174222222222223,15.766833333333334
447,24d10m27.3s,15d48m26.0s,73,70,72,0,1,-106,4.05,24.17425,15.807222222222222
448,24d10m27.4s,15d46m53.9s,49,46,48,0,2,273,0.35,24.174277777777778,15.78163888888889
449,24d10m27.6s,15d47m28.3s,29,27,28,0,4,-16,1.3,24.174333333333333,15.791194444444445
450,24d10m27.6s,15d45m60.0s,21,19,20,0,4,46,2.92,24.174333333333333,15.766666666666667
451,24d10m27.8s,15d48m46.5s,23,23,23,0,1,54,5.03,24.174388888888892,15.812916666666668
452,24d10m27.8s,15d47m37.1s,79,70,76,0,4,57,1.72,24.174388888888892,15.79363888888889
453,24d10m27.9s,15d46m56.9s,24,24,24,0,4,-252,0.22,24.17441666666667,15.782472222222223
454,24d10m27.9s,15d47m56.8s,41,41,41,0,2,-40,2.66,24.17441666666667,15.799111111111111
455,24d10m28.0s,15d47m20.4s,28,25,27,0,4,59,0.93,24.174444444444447,15.789
456,24d10m28.1s,15d46m50.8s,20,19,20,0,2,260,0.5,24.174472222222224,15.780777777777779
457,24d10m28.4s,15d45m54.7s,56,56,56,0,4,93,3.17,24.174555555555557,15.765194444444445
458,24d10m28.5s,15d46m58.0s,30,26,29,0,4,244,0.19,24.174583333333334,15.78277777777778
459,24d10m28.6s,15d46m55.1s,21,21,21,0,4,270,0.31,24.174611111111112,15.781972222222223
460,24d10m28.7s,15d46m56.6s,35,33,34,0,4,256,0.25,24.17463888888889,15.78238888888889
461,24d10m29.1s,15d48m46.2s,25,24,24,-90,1,47,5.01,24.17475,15.812833333333334
462,24d10m29.2s,15d48m22.3s,97,84,93,0,1,-144,3.87,24.17477777777778,15.806194444444445
463,24d10m29.2s,15d45m50.5s,38,30,35,90,4,132,3.37,24.17477777777778,15.764027777777779
464,24d10m29.2s,15d47m8.6s,41,37,40,0,4,154,0.39,24.17477777777778,15.785722222222223
465,24d10m29.3s,15d46m58.9s,32,30,31,0,4,237,0.19,24.174805555555558,15.783027777777779
466,24d10m29.4s,15d47m12.8s,24,22,23,0,4,120,0.58,24.174833333333336,15.786888888888889
467,24d10m29.5s,15d46m57.7s,32,27,30,0,4,248,0.23,24.174861111111113,15.782694444444445
468,24d10m29.7s,15d47m2.0s,29,25,28,0,4,211,0.18,24.174916666666668,15.783888888888889
469,24d10m29.8s,15d46m51.3s,21,19,20,0,2,274,0.5,24.174944444444446,15.780916666666668
470,24d10m30.3s,15d46m58.4s,22,21,22,0,4,244,0.24,24.175083333333333,15.78288888888889
471,24d10m30.6s,15d48m19.2s,40,39,40,0,2,156,3.73,24.17516666666667,15.805333333333333
472,24d10m30.6s,15d47m21.7s,32,28,31,0,4,73,1.01,24.17516666666667,15.789361111111111
473,24d10m30.7s,15d46m51.9s,22,18,21,0,2,284,0.49,24.175194444444447,15.781083333333335
474,24d10m30.9s,15d45m36.7s,20,19,20,0,4,256,4.03,24.175250000000002,15.760194444444444
475,24d10m31.3s,15d46m37.1s,39,39,39,0,2,-238,1.17,24.175361111111112,15.776972222222224
476,24d10m31.3s,15d46m17.3s,35,30,33,0,4,-95,2.11,24.175361111111112,15.771472222222224
477,24d10m31.3s,15d46m56.9s,67,49,61,0,4,260,0.32,24.175361111111112,15.782472222222223
478,24d10m31.4s,15d45m36.1s,24,23,23,0,4,261,4.06,24.17538888888889,15.760027777777777
479,24d10m31.4s,15d46m59.5s,49,33,44,0,4,237,0.26,24.17538888888889,15.783194444444446
480,24d10m31.5s,15d47m3.8s,25,24,25,0,4,201,0.29,24.175416666666667,15.78438888888889
481,24d10m31.8s,15d45m55.9s,28,24,27,-40,4,83,3.12,24.1755,15.765527777777777
482,24d10m31.9s,15d47m30.6s,42,40,41,0,4,-6,1.43,24.17552777777778,15.791833333333333
483,24d10m32.0s,15d47m5.2s,30,24,28,0,4,192,0.34,24.175555555555558,15.784777777777778
484,24d10m32.0s,15d45m49.5s,28,26,28,90,4,141,3.43,24.175555555555558,15.76375
485,24d10m32.2s,15d47m3.2s,18,16,17,0,4,208,0.3,24.175611111111113,15.784222222222223
486,24d10m32.3s,15d45m35.3s,35,31,34,-90,4,268,4.1,24.17563888888889,15.759805555555555
487,24d10m32.6s,15d48m21.3s,33,30,32,0,1,-164,3.84,24.175722222222223,15.805916666666667
488,24d10m32.7s,15d45m59.1s,22,21,22,90,4,56,2.98,24.17575,15.766416666666666
489,24d10m32.9s,15d45m54.3s,126,95,115,-40,4,98,3.2,24.175805555555556,15.765083333333333
490,24d10m32.9s,15d47m25.9s,32,31,32,-90,4,-42,1.22,24.175805555555556,15.790527777777777
491,24d10m32.9s,15d48m13.9s,31,31,31,0,2,113,3.49,24.175805555555556,15.803861111111113
492,24d10m33.5s,15d47m2.7s,23,21,22,0,4,217,0.36,24.175972222222224,15.784083333333333
493,24d10m33.7s,15d47m25.4s,31,28,30,0,4,-46,1.21,24.17602777777778,15.790388888888888
494,24d10m33.7s,15d46m6.1s,26,26,26,0,4,4,2.65,24.17602777777778,15.768361111111112
495,24d10m33.8s,15d47m5.3s,38,35,37,0,4,198,0.41,24.176055555555557,15.784805555555556
496,24d10m34.1s,15d46m4.3s,89,89,89,0,4,18,2.74,24.17613888888889,15.767861111111111
497,24d10m34.1s,15d47m6.4s,25,21,24,0,4,191,0.45,24.17613888888889,15.78511111111111
498,24d10m34.5s,15d48m32.6s,28,26,27,0,1,-79,4.38,24.17625,15.809055555555556
499,24d10m34.6s,15d46m48.5s,33,28,32,0,4,260,0.72,24.17627777777778,15.78013888888889
500,24d10m34.6s,15d45m48.7s,121,110,118,0,4,151,3.48,24.17627777777778,15.763527777777778
501,24d10m35.0s,15d46m59.3s,34,30,32,0,4,225,0.42,24.17638888888889,15.783138888888889
502,24d10m35.0s,15d45m7.0s,32,32,32,0,2,-211,5.46,24.17638888888889,15.751944444444444
503,24d10m35.0s,15d48m16.9s,55,49,53,0,2,140,3.64,24.17638888888889,15.804694444444445
504,24d10m35.1s,15d47m57.2s,121,121,121,0,2,-33,2.71,24.176416666666668,15.799222222222221
505,24d10m35.1s,15d46m5.1s,39,38,39,0,4,15,2.71,24.176416666666668,15.768083333333335
506,24d10m35.1s,15d47m3.9s,20,20,20,0,4,-204,0.44,24.176416666666668,15.784416666666667
507,24d10m35.1s,15d46m21.1s,57,57,57,0,4,-113,1.96,24.176416666666668,15.772527777777778
508,24d10m35.3s,15d46m53.4s,15,14,15,0,4,248,0.57,24.176472222222223,15.781500000000001
509,24d10m35.3s,15d46m52.8s,16,14,15,0,4,249,0.59,24.176472222222223,15.781333333333334
510,24d10m35.4s,15d48m22.8s,27,26,27,-90,1,-163,3.92,24.1765,15.806333333333335
511,24d10m35.6s,15d46m57.5s,21,20,20,0,4,229,0.48,24.176555555555556,15.78263888888889
512,24d10m35.6s,15d46m12.3s,30,26,29,0,4,-38,2.37,24.176555555555556,15.770083333333334
513,24d10m35.7s,15d48m15.6s,20,18,20,0,2,128,3.58,24.176583333333333,15.804333333333334
514,24d10m35.8s,15d47m0.2s,25,24,25,0,4,215,0.45,24.17661111111111,15.783388888888888
515,24d10m35.9s,15d47m4.9s,32,29,31,0,4,195,0.49,24.17663888888889,15.784694444444444
516,24d10m36.0s,15d48m22.6s,15,14,15,-90,1,-166,3.92,24.17666666666667,15.806277777777778
517,24d10m36.0s,15d46m53.2s,18,17,18,0,4,243,0.6,24.17666666666667,15.781444444444446
518,24d10m36.0s,15d46m14.2s,34,30,33,0,4,-51,2.29,24.17666666666667,15.770611111111112
519,24d10m36.0s,15d46m58.1s,18,17,17,0,4,223,0.49,24.17666666666667,15.782805555555557
520,24d10m36.2s,15d46m42.5s,64,57,61,0,4,249,1.01,24.176722222222224,15.778472222222224
521,24d10m36.2s,15d47m23.9s,18,14,17,0,4,-54,1.18,24.176722222222224,15.789972222222222
522,24d10m36.3s,15d47m10.9s,30,28,29,0,4,159,0.67,24.176750000000002,15.78636111111111
523,24d10m36.3s,15d46m7.3s,31,29,30,0,4,3,2.61,24.176750000000002,15.768694444444446
524,24d10m36.3s,15d46m50.6s,22,21,22,0,4,242,0.7,24.176750000000002,15.780722222222224
525,24d10m36.4s,15d47m24.7s,19,18,18,0,4,-46,1.22,24.17677777777778,15.790194444444444
526,24d10m36.5s,15d47m5.7s,51,36,46,0,4,188,0.53,24.176805555555557,15.784916666666666
527,24d10m36.5s,15d46m57.7s,22,21,22,0,4,222,0.51,24.176805555555557,15.782694444444445
528,24d10m36.6s,15d46m44.5s,40,33,37,0,4,248,0.93,24.176833333333335,15.77902777777778
529,24d10m36.7s,15d46m53.3s,20,17,19,0,4,237,0.62,24.176861111111112,15.781472222222224
530,24d10m36.8s,15d48m4.8s,43,35,40,0,2,32,3.08,24.17688888888889,15.801333333333334
531,24d10m36.8s,15d46m55.7s,19,18,18,0,4,227,0.56,24.17688888888889,15.78213888888889
532,24d10m37.0s,15d46m32.5s,55,50,53,0,4,-193,1.46,24.176944444444445,15.775694444444445
533,24d10m37.1s,15d46m29.7s,38,33,37,0,4,-172,1.58,24.176972222222222,15.774916666666668
534,24d10m37.2s,15d47m24.2s,32,30,31,0,4,-50,1.22,24.177,15.790055555555556
535,24d10m37.3s,15d48m6.4s,42,36,40,0,2,47,3.16,24.17702777777778,15.801777777777778
536,24d10m37.6s,15d46m27.4s,34,32,34,90,4,-151,1.7,24.177111111111113,15.774277777777778
537,24d10m37.7s,15d48m13.7s,31,28,30,0,2,112,3.5,24.17713888888889,15.803805555555556
538,24d10m37.7s,15d47m14.7s,37,33,35,0,4,123,0.85,24.17713888888889,15.787416666666667
539,24d10m38.4s,15d47m14.2s,25,25,25,0,4,124,0.85,24.177333333333333,15.787277777777778
540,24d10m38.7s,15d47m34.8s,60,53,58,0,4,42,1.71,24.17741666666667,15.793
541,24d10m38.8s,15d48m16.1s,35,33,34,90,2,135,3.63,24.177444444444447,15.804472222222223
542,24d10m38.8s,15d48m30.4s,38,34,37,-90,1,-109,4.3,24.177444444444447,15.808444444444445
543,24d10m39.0s,15d46m7.2s,28,24,27,0,4,14,2.64,24.177500000000002,15.768666666666668
544,24d10m39.0s,15d47m15.2s,35,25,31,0,4,113,0.9,24.177500000000002,15.787555555555555
545,24d10m39.1s,15d46m8.1s,29,26,28,0,4,6,2.6,24.17752777777778,15.768916666666668
546,24d10m39.1s,15d46m56.1s,33,32,33,0,4,207,0.65,24.17752777777778,15.782250000000001
547,24d10m39.3s,15d48m12.3s,18,17,18,-90,2,103,3.45,24.177583333333335,15.803416666666667
548,24d10m39.4s,15d48m1.8s,195,191,194,0,2,11,2.96,24.177611111111112,15.800500000000001
549,24d10m39.4s,15d46m57.2s,20,20,20,0,4,-201,0.65,24.177611111111112,15.782555555555556
550,24d10m39.7s,15d48m14.5s,61,58,60,0,2,122,3.56,24.177694444444445,15.804027777777778
551,24d10m39.8s,15d48m34.3s,25,22,24,-90,1,-82,4.49,24.177722222222222,15.80952777777778
552,24d10m40.0s,15d48m32.9s,27,26,27,0,1,-94,4.43,24.17777777777778,15.80913888888889
553,24d10m40.1s,15d47m16.7s,19,18,18,0,4,97,0.99,24.177805555555558,15.787972222222223
554,24d10m40.3s,15d48m12.9s,33,32,33,-90,2,111,3.49,24.177861111111113,15.803583333333334
555,24d10m40.4s,15d47m10.5s,32,25,30,0,4,137,0.8,24.17788888888889,15.786249999999999
556,24d10m40.5s,15d45m13.3s,61,58,60,0,2,-238,5.19,24.17791666666667,15.753694444444445
557,24d10m40.6s,15d48m17.8s,43,36,40,0,2,154,3.72,24.177944444444446,15.804944444444445
558,24d10m40.6s,15d45m37.8s,74,66,72,0,4,259,4.03,24.177944444444446,15.7605
559,24d10m40.7s,15d47m25.1s,21,21,21,0,4,-31,1.33,24.177972222222223,15.790305555555555
560,24d10m40.7s,15d48m16.6s,32,30,31,0,2,144,3.67,24.177972222222223,15.804611111111111
561,24d10m40.8s,15d46m57.3s,20,19,19,0,4,190,0.71,24.178,15.782583333333335
562,24d10m40.8s,15d47m51.3s,19,19,19,-90,2,-78,2.49,24.178,15.797583333333334
563,24d10m41.0s,15d47m23.6s,27,24,26,0,4,-41,1.28,24.178055555555556,15.789888888888889
564,24d10m41.0s,15d47m16.0s,25,22,24,0,4,97,0.99,24.178055555555556,15.787777777777778
565,24d10m41.1s,15d47m10.6s,20,20,20,0,4,132,0.83,24.178083333333333,15.786277777777778
566,24d10m41.1s,15d46m8.4s,69,66,68,-90,4,11,2.61,24.178083333333333,15.769
567,24d10m41.1s,15d48m17.3s,24,21,23,0,2,151,3.7,24.178083333333333,15.804805555555557
568,24d10m41.3s,15d47m25.6s,26,25,25,-90,4,-25,1.36,24.17813888888889,15.790444444444445
569,24d10m41.4s,15d48m13.2s,46,46,46,0,2,113,3.51,24.17816666666667,15.803666666666667
570,24d10m41.6s,15d47m30.0s,44,35,41,0,4,8,1.55,24.178222222222225,15.791666666666666
571,24d10m41.6s,15d46m56.3s,24,23,24,0,4,187,0.76,24.178222222222225,15.782305555555556
572,24d10m41.7s,15d47m53.5s,30,26,29,0,2,-58,2.6,24.178250000000002,15.798194444444444
573,24d10m42.1s,15d48m12.4s,14,11,13,0,2,106,3.48,24.178361111111112,15.803444444444445
574,24d10m42.1s,15d48m35.6s,67,47,60,0,1,-77,4.57,24.178361111111112,15.80988888888889
575,24d10m42.4s,15d48m10.1s,31,31,31,-90,2,86,3.38,24.178444444444445,15.802805555555556
576,24d10m42.4s,15d47m27.0s,23,21,23,0,4,-11,1.45,24.178444444444445,15.790833333333333
577,24d10m42.6s,15d48m18.2s,37,36,37,0,2,158,3.76,24.1785,15.805055555555557
578,24d10m42.8s,15d48m24.1s,19,19,19,-90,1,-175,4.03,24.17855555555556,15.806694444444446
579,24d10m42.9s,15d47m54.5s,35,35,35,0,2,-48,2.66,24.178583333333336,15.798472222222221
580,24d10m43.0s,15d47m3.2s,29,29,29,0,4,-147,0.79,24.178611111111113,15.784222222222223
581,24d10m43.1s,15d47m27.9s,25,24,25,0,4,-3,1.5,24.17863888888889,15.791083333333333
582,24d10m43.7s,15d47m25.0s,23,21,22,0,4,-17,1.4,24.178805555555556,15.790277777777778
583,24d10m43.8s,15d47m16.6s,31,26,29,0,4,79,1.1,24.178833333333333,15.787944444444443
584,24d10m44.2s,15d48m30.2s,55,52,54,-40,1,-127,4.33,24.178944444444447,15.80838888888889
585,24d10m44.8s,15d45m39.4s,25,22,24,0,4,260,4.0,24.179111111111112,15.760944444444444
586,24d10m44.9s,15d48m44.6s,23,21,22,-90,1,-3,5.01,24.17913888888889,15.81238888888889
587,24d10m45.1s,15d48m6.6s,37,37,37,0,2,60,3.25,24.179194444444445,15.801833333333335
588,24d10m45.1s,15d48m11.9s,62,60,61,-90,2,105,3.49,24.179194444444445,15.803305555555557
